City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Chardara,KZ,45.54,clear sky,41.2547,67.9692,Жанаргул
391,Karagaylinskiy,RU,28.27,overcast clouds,54.172,86.5521,
393,Hirschaid,DE,48.0,broken clouds,49.8194,10.9908,CENTER HOTEL DRIVE INN
396,Kui Buri,TH,72.9,few clouds,12.0828,99.8543,ริสต้า รีสอร์ท
397,Vung Tau,VN,73.99,clear sky,10.345999999999998,107.0843,Seaside Resort
398,Lashio,MM,49.55,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
403,Colares,PT,57.99,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
405,Linxia,CN,28.99,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
407,Tongchuan,CN,34.34,overcast clouds,35.0806,109.0897,Tongchuan Hotel
413,Coos Bay,US,46.99,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
414,Kasongo-Lunda,CD,72.03,overcast clouds,-6.4667,16.8167,
416,Mahon,ES,55.4,broken clouds,39.8885,4.2658,ARTIEM Capri
418,Panzhihua,CN,42.01,clear sky,26.5851,101.7128,Electric Power Hotel
427,Great Yarmouth,GB,46.4,broken clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
428,Guerrero Negro,MX,70.48,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
429,Corinto,GR,50.0,few clouds,37.9407,22.9573,Ephira Hotel
430,Tuatapere,NZ,50.85,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
432,Yuncheng,CN,35.33,overcast clouds,35.0231,110.9928,晋州快捷酒店
435,Riyadh,SA,69.8,clear sky,24.6877,46.7219,InterContinental Riyadh
437,Dharchula,IN,46.35,clear sky,29.85,80.5333,Mahara Hotel
439,Zaltan,LY,63.07,clear sky,32.946999999999996,11.8665,زلطن الشرقية
440,Pyinmana,MM,59.67,clear sky,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
441,Ngunguru,NZ,66.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
442,San Francisco,US,57.2,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
444,Bo Rai,TH,70.36,scattered clouds,12.5728,102.5371,Baiboon Resort
445,Rockhampton,AU,73.4,broken clouds,-23.3833,150.5,Mercure Rockhampton
449,Nantucket,US,35.6,broken clouds,41.2835,-70.0995,Jared Coffin House
452,Luancheng,CN,28.4,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
453,Mandapeta,IN,63.9,clear sky,16.8667,81.9333,Sri satyanarayana vilas kokas Lodge
454,Shediac,CA,39.0,overcast clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
455,Atyrau,KZ,28.4,mist,47.1167,51.8833,River Palace Hotel
461,Wanning,CN,67.71,scattered clouds,18.8003,110.3967,Paradise Hotel
463,Alamosa,US,51.8,clear sky,37.4695,-105.87,Best Western Alamosa Inn
464,Dingle,PH,73.98,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
465,Sekoma,BW,69.73,light rain,-24.4,23.8833,
466,Marzuq,YE,57.87,clear sky,14.4,46.4667,
468,Constitucion,CL,71.83,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
472,Oktyabrskoye,RU,33.8,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
475,Chapais,CA,26.6,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
476,Irbil,IQ,48.2,clear sky,36.1926,44.0106,Erbil International Hotel
477,Bowen,AU,71.6,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
481,Faya,SA,59.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
482,Jasper,US,62.6,clear sky,37.2001,-94.3502,Guest House Motel
484,Alandur,IN,73.4,mist,13.0025,80.2061,Hilton Chennai
485,Shubarshi,KZ,27.91,overcast clouds,48.5872,57.1869,
486,Barcelos,PT,53.6,few clouds,41.5388,-8.6151,Hotel Do Terço
487,Turkmenabat,TM,41.0,smoke,39.0733,63.5786,Hotel Yupek Yoly
488,Rock Springs,US,30.2,light snow,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
492,Ramnagar,IN,57.87,scattered clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
493,Kawambwa,ZM,64.87,light rain,-9.7915,29.0791,"Uphill Country Lodge, Kawambwa"
494,Craig,US,44.6,overcast clouds,40.5153,-107.5464,Candlewood Suites Craig-Northwest
495,Martin,US,66.0,clear sky,27.0837,-80.4164,
496,Aryanah,TN,55.4,few clouds,36.8601,10.1934,فندق تونس الكبير
498,Dawei,MM,73.27,clear sky,14.0833,98.2,Hotel Dawei
499,Khani,GE,41.0,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
500,Qui Nhon,VN,69.01,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
505,Bjornevatn,NO,26.6,light snow,69.6672,29.9847,Snowhotel Kirkenes & Gamme Northern Lights Cabins
507,Arlit,NE,70.34,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
508,Keti Bandar,PK,69.08,clear sky,24.1447,67.4497,Haji laloo memon house
509,Chipinge,ZW,68.31,overcast clouds,-20.1883,32.6236,Chipinge Breeze Lodge
512,Sale,MA,57.0,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
514,Laguna,US,55.99,overcast clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
515,Halifax,CA,46.0,scattered clouds,44.6453,-63.5724,Hotel Halifax
517,Fukue,JP,52.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
521,Truro,GB,48.2,clear sky,50.2653,-5.0544,Mannings Hotel
524,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Hotel San Juan
525,Matara,LK,74.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
526,Kaohsiung,TW,64.0,mist,22.6163,120.3133,Kindness Hotel
532,Dakar,SN,69.8,clear sky,14.6937,-17.4441,Novotel Dakar
534,Kalaikunda,IN,57.49,clear sky,22.35,87.25,Atithi Guest House
536,Bilma,NE,67.98,clear sky,18.6853,12.9164,Expeditions Ténére voyages
537,Cyangugu,RW,62.04,overcast clouds,-2.4846,28.9075,Umucyo Lodge
538,Lishan,CN,44.04,scattered clouds,31.8576,113.2951,Hongdu Hotel
541,Ketchikan,US,39.2,light rain,55.3422,-131.6461,Snows Cove Lodge
542,San Jose,US,57.99,few clouds,37.3394,-121.895,The Westin San Jose
543,Springfield,US,55.99,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
