City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Kavieng,PG,-2.5744,150.7967,82.27,71,100,5.41,overcast clouds
256,Beringovskiy,RU,63.05,179.3167,4.28,94,84,11.79,broken clouds
257,Bathsheba,BB,13.2167,-59.5167,82.4,61,40,24.16,scattered clouds
258,Aksu,CN,41.1231,80.2644,23.5,82,0,0.74,clear sky
259,Iqaluit,CA,63.7506,-68.5145,-5.8,71,90,2.3,light snow
260,Bardiyah,LY,31.7561,25.0865,59.04,79,0,16.96,clear sky
261,College,US,64.8569,-147.8028,-11.2,64,75,5.75,light snow
262,Lavrentiya,RU,65.5833,-171.0,-10.21,85,0,15.86,clear sky
263,Airai,TL,-8.9266,125.4092,61.29,100,98,4.5,overcast clouds
264,Bethel,US,41.3712,-73.414,34.0,60,90,11.5,overcast clouds
265,Brentwood,US,40.7812,-73.2462,37.0,69,90,14.97,overcast clouds
266,Luxor,EG,25.6989,32.6421,69.8,43,75,11.79,broken clouds
267,Mantua,IT,45.1667,10.7833,44.01,97,83,1.01,broken clouds
268,San Quintin,MX,30.4833,-115.95,64.76,69,60,15.79,broken clouds
269,Morro Bay,US,35.3658,-120.8499,61.0,63,23,5.01,few clouds
270,Noumea,NC,-22.2763,166.4572,78.01,99,99,9.13,overcast clouds
271,Dongsheng,CN,39.8161,109.9776,17.17,69,0,9.62,clear sky
272,Kyabram,AU,-36.3167,145.05,63.0,67,40,7.74,scattered clouds
273,Chuy,UY,-33.6971,-53.4616,70.32,94,100,16.6,moderate rain
274,Henties Bay,NA,-22.116,14.2845,66.99,85,80,7.27,broken clouds
275,Jilib,SO,0.4883,42.7854,71.53,90,100,6.62,overcast clouds
276,Thinadhoo,MV,0.5333,72.9333,82.62,74,62,7.29,broken clouds
277,Carbonia,IT,39.1672,8.5222,55.4,100,0,5.75,clear sky
278,Ambilobe,MG,-13.2,49.05,76.28,88,74,1.81,broken clouds
279,Rawson,AR,-43.3002,-65.1023,89.19,18,51,10.85,broken clouds
280,Pochutla,MX,15.7432,-96.4661,86.0,58,20,7.94,few clouds
281,Suciu De Sus,RO,47.4333,24.0333,43.0,87,75,5.75,broken clouds
282,Longyearbyen,SJ,78.2186,15.6401,23.0,68,75,12.66,light snow
283,Hasaki,JP,35.7333,140.8333,33.8,60,40,4.61,scattered clouds
284,Inirida,CO,3.8653,-67.9239,88.88,58,85,2.39,overcast clouds
285,Udachnyy,RU,66.4167,112.4,-23.69,84,100,3.94,overcast clouds
286,Sovetskiy,RU,61.3614,63.5842,7.27,94,34,7.45,scattered clouds
287,Anloga,GH,5.7947,0.8973,84.2,84,20,12.66,few clouds
288,Kaitangata,NZ,-46.2817,169.8464,54.0,64,79,13.0,broken clouds
289,Churapcha,RU,62.0025,132.4325,-48.89,75,48,3.38,scattered clouds
290,Pyay,MM,18.8167,95.2167,62.42,33,0,3.49,clear sky
291,Bertoua,CM,4.5833,13.6833,75.38,33,12,1.45,few clouds
292,Sorland,NO,67.667,12.6934,32.0,55,20,19.57,few clouds
293,Muisne,EC,0.6,-80.0333,80.6,89,75,11.5,light rain
294,Mapiripan,CO,2.8892,-72.1256,92.59,44,39,4.63,scattered clouds
295,Lebyazhye,RU,55.2689,66.4947,6.91,95,10,6.6,clear sky
296,Barcelona,ES,41.3888,2.159,60.01,88,0,1.14,clear sky
297,Qaqortoq,GL,60.7167,-46.0333,15.8,53,75,6.91,broken clouds
298,Lilongwe,MW,-13.9669,33.7873,70.36,79,100,3.02,overcast clouds
299,Vad,RU,55.5301,44.2114,27.68,98,100,9.48,snow
300,Makakilo City,US,21.3469,-158.0858,75.2,78,90,24.16,heavy intensity rain
301,Parabel,RU,58.6978,81.4825,5.02,95,91,7.31,overcast clouds
302,Vestmanna,FO,62.1564,-7.1664,30.2,74,14,3.44,few clouds
303,Tamandare,BR,-8.7597,-35.1047,81.09,69,49,8.77,scattered clouds
304,Kalmunai,LK,7.4167,81.8167,75.99,81,92,10.33,overcast clouds
305,Srandakan,ID,-7.9386,110.2506,77.2,85,100,5.03,overcast clouds
306,La Asuncion,VE,11.0333,-63.8628,80.62,77,0,16.35,clear sky
307,Leningradskiy,RU,69.3833,178.4167,-23.78,84,74,11.52,broken clouds
308,Roma,US,43.2128,-75.4557,28.4,69,90,14.97,overcast clouds
309,Husavik,IS,66.0449,-17.3389,15.8,79,0,9.22,clear sky
310,Impfondo,CG,1.6381,18.0667,84.61,51,100,2.24,overcast clouds
311,Semnan,IR,35.5729,53.3971,43.75,57,52,2.04,broken clouds
312,Broken Hill,AU,-31.95,141.4333,71.6,28,100,8.05,overcast clouds
313,Mecca,SA,21.4267,39.8261,77.23,70,0,3.94,clear sky
314,Bonnyville,CA,54.2668,-110.735,1.4,66,90,9.22,light snow
315,Sistranda,NO,63.7256,8.834,15.8,73,20,14.97,few clouds
316,Flin Flon,CA,54.7682,-101.865,10.4,85,90,11.5,light snow
317,Tezu,IN,27.9167,96.1667,61.45,35,31,3.94,scattered clouds
318,Haines Junction,CA,60.7522,-137.5108,-18.4,69,100,0.89,overcast clouds
319,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,72,75,7.78,broken clouds
320,Ruteng,ID,-8.6136,120.4721,63.28,100,100,1.88,light rain
321,Trairi,BR,-3.2778,-39.2689,83.37,67,27,13.35,scattered clouds
322,Dunedin,NZ,-45.8742,170.5036,55.99,63,95,1.99,overcast clouds
323,Cradock,ZA,-32.1642,25.6192,74.39,58,17,9.4,few clouds
324,Balkanabat,TM,39.5108,54.3671,50.65,46,100,1.59,overcast clouds
325,Itoman,JP,26.1247,127.6694,59.0,72,40,8.05,scattered clouds
326,Siderno,IT,38.2779,16.302,51.01,93,0,5.75,clear sky
327,Poyarkovo,RU,49.6,128.6833,-24.54,82,0,6.11,clear sky
328,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,75,4.61,moderate rain
329,Nagato,JP,34.3833,131.2,41.0,86,40,3.44,scattered clouds
330,Pacific Grove,US,36.6177,-121.9166,55.4,50,1,5.75,clear sky
331,Cockburn Town,TC,21.4612,-71.1419,72.63,62,82,8.95,broken clouds
332,Mozarlandia,BR,-14.7447,-50.5706,89.31,56,70,4.5,broken clouds
333,Tutoia,BR,-2.7619,-42.2744,86.0,70,0,16.11,clear sky
334,Whitehorse,CA,60.7161,-135.0538,-6.0,77,75,3.44,broken clouds
335,Camargo,MX,27.6667,-105.1667,81.46,14,0,8.1,clear sky
336,Bodden Town,KY,19.2833,-81.25,75.2,57,75,11.5,broken clouds
337,Sinnamary,GF,5.3833,-52.95,79.34,82,100,17.22,overcast clouds
338,Olinda,BR,-8.0089,-34.8553,82.4,61,40,8.05,scattered clouds
339,Harper,LR,4.375,-7.7169,78.93,87,17,7.36,few clouds
340,Labuhan,ID,-6.8844,112.2051,77.86,86,100,10.56,moderate rain
341,Voyvozh,RU,62.892,54.9635,2.25,95,100,5.93,overcast clouds
342,Evensk,RU,61.95,159.2333,11.32,91,100,45.41,overcast clouds
343,Khandyga,RU,62.6667,135.6,-54.44,66,41,0.63,scattered clouds
344,Aswan,EG,24.0934,32.907,69.37,24,72,11.63,broken clouds
345,Olafsvik,IS,64.8945,-23.7142,36.75,80,100,26.66,overcast clouds
346,Ahipara,NZ,-35.1667,173.1667,65.16,68,100,2.17,overcast clouds
347,Alice Springs,AU,-23.7,133.8833,69.8,28,43,3.44,scattered clouds
